startDate,endDate,indexType,roomsCount,newApartment,avgPrice,avgPricePerSurface
02.01.2023,08.01.2023,listings,,,117309.13,1657.9
02.01.2023,08.01.2023,listings,1,,51718.84,1414.6
02.01.2023,08.01.2023,listings,2,,86673.08,1573.41
02.01.2023,08.01.2023,listings,3,,140880.03,1737.91
02.01.2023,08.01.2023,listings,4,,331167.71,2316.13
02.01.2023,08.01.2023,listings,,1,120613.53,1617.79
02.01.2023,08.01.2023,listings,,0,114808.75,1688.24
02.01.2023,08.01.2023,listings,1,1,49323.3,1260.94
02.01.2023,08.01.2023,listings,1,0,53879.62,1553.19
02.01.2023,08.01.2023,listings,2,1,87003.92,1513.62
02.01.2023,08.01.2023,listings,2,0,86374.77,1627.32
02.01.2023,08.01.2023,listings,3,1,149809.74,1753.32
02.01.2023,08.01.2023,listings,3,0,135499.7,1728.63
02.01.2023,08.01.2023,listings,4,1,501584.81,3015
02.01.2023,08.01.2023,listings,4,0,257214.52,2012.85
02.01.2023,08.01.2023,apartments,,,125950.44,1730.93
02.01.2023,08.01.2023,apartments,1,,53617.7,1463.83
02.01.2023,08.01.2023,apartments,2,,88164.59,1636.35
02.01.2023,08.01.2023,apartments,3,,143127.21,1783.89
02.01.2023,08.01.2023,apartments,4,,349120.99,2396.27
02.01.2023,08.01.2023,apartments,,1,137790.47,1776.29
02.01.2023,08.01.2023,apartments,,0,118501.47,1702.39
02.01.2023,08.01.2023,apartments,1,1,53028.83,1338.95
02.01.2023,08.01.2023,apartments,1,0,54038.91,1553.16
02.01.2023,08.01.2023,apartments,2,1,93000.58,1656.93
02.01.2023,08.01.2023,apartments,2,0,84902.85,1622.47
02.01.2023,08.01.2023,apartments,3,1,156319.56,1865.68
02.01.2023,08.01.2023,apartments,3,0,135513.12,1736.68
02.01.2023,08.01.2023,apartments,4,1,480085.7,2982.06
02.01.2023,08.01.2023,apartments,4,0,285356.13,2111.05
02.01.2023,08.01.2023,soldApartments,,,122700.32,1723.43
02.01.2023,08.01.2023,soldApartments,1,,50688.1,1462.51
02.01.2023,08.01.2023,soldApartments,2,,86035.05,1631.7
02.01.2023,08.01.2023,soldApartments,3,,142386.26,1778.65
02.01.2023,08.01.2023,soldApartments,4,,345814.06,2395.21
02.01.2023,08.01.2023,soldApartments,,1,135410.8,1774.36
02.01.2023,08.01.2023,soldApartments,,0,115258.57,1693.62
02.01.2023,08.01.2023,soldApartments,1,1,48069.98,1340.41
02.01.2023,08.01.2023,soldApartments,1,0,52393.33,1542.03
02.01.2023,08.01.2023,soldApartments,2,1,90391.9,1657.62
02.01.2023,08.01.2023,soldApartments,2,0,83261.09,1615.2
02.01.2023,08.01.2023,soldApartments,3,1,156533.73,1859.44
02.01.2023,08.01.2023,soldApartments,3,0,134780.04,1735.21
02.01.2023,08.01.2023,soldApartments,4,1,512237.36,3087.62
02.01.2023,08.01.2023,soldApartments,4,0,274543.73,2098.69
09.01.2023,15.01.2023,listings,,,117556.84,1660.79
09.01.2023,15.01.2023,listings,1,,52012.57,1428.21
09.01.2023,15.01.2023,listings,2,,86930.97,1575.83
09.01.2023,15.01.2023,listings,3,,140763.79,1738.94
09.01.2023,15.01.2023,listings,4,,322390.04,2274.41
09.01.2023,15.01.2023,listings,,1,120933.67,1621.43
09.01.2023,15.01.2023,listings,,0,115072.8,1689.75
09.01.2023,15.01.2023,listings,1,1,49907.49,1273.59
09.01.2023,15.01.2023,listings,1,0,53841.65,1562.57
09.01.2023,15.01.2023,listings,2,1,87350.32,1516.97
09.01.2023,15.01.2023,listings,2,0,86558.23,1628.15
09.01.2023,15.01.2023,listings,3,1,150899.94,1758.73
09.01.2023,15.01.2023,listings,3,0,134854.11,1727.41
09.01.2023,15.01.2023,listings,4,1,488109.57,2940.76
09.01.2023,15.01.2023,listings,4,0,253731.06,1998.33
09.01.2023,15.01.2023,apartments,,,125563.43,1730.41
09.01.2023,15.01.2023,apartments,1,,53734.5,1473.08
09.01.2023,15.01.2023,apartments,2,,88206.83,1635.84
09.01.2023,15.01.2023,apartments,3,,143178.32,1784.95
09.01.2023,15.01.2023,apartments,4,,344047.35,2373.17
09.01.2023,15.01.2023,apartments,,1,137476.58,1778.11
09.01.2023,15.01.2023,apartments,,0,118298.32,1701.32
09.01.2023,15.01.2023,apartments,1,1,53449.95,1348.92
09.01.2023,15.01.2023,apartments,1,0,53929.62,1558.21
09.01.2023,15.01.2023,apartments,2,1,93243.85,1659.75
09.01.2023,15.01.2023,apartments,2,0,84901.27,1620.14
09.01.2023,15.01.2023,apartments,3,1,157340.47,1872.01
09.01.2023,15.01.2023,apartments,3,0,135221.55,1736.04
09.01.2023,15.01.2023,apartments,4,1,472544.6,2950.46
09.01.2023,15.01.2023,apartments,4,0,284102.04,2103.86
09.01.2023,15.01.2023,soldApartments,,,122944.89,1726.23
09.01.2023,15.01.2023,soldApartments,1,,50947.56,1474.11
09.01.2023,15.01.2023,soldApartments,2,,86466.81,1633.45
09.01.2023,15.01.2023,soldApartments,3,,142883.66,1783.32
09.01.2023,15.01.2023,soldApartments,4,,339705.09,2368.02
09.01.2023,15.01.2023,soldApartments,,1,135789.16,1783.55
09.01.2023,15.01.2023,soldApartments,,0,115579.02,1693.36
09.01.2023,15.01.2023,soldApartments,1,1,48713.85,1355.97
09.01.2023,15.01.2023,soldApartments,1,0,52343.04,1547.91
09.01.2023,15.01.2023,soldApartments,2,1,91430.79,1667.51
09.01.2023,15.01.2023,soldApartments,2,0,83355.87,1612.11
09.01.2023,15.01.2023,soldApartments,3,1,158054.14,1871.65
09.01.2023,15.01.2023,soldApartments,3,0,134847.98,1736.53
09.01.2023,15.01.2023,soldApartments,4,1,495128.21,3030.43
09.01.2023,15.01.2023,soldApartments,4,0,274495.78,2090.1
16.01.2023,22.01.2023,listings,,,117616.64,1658.54
16.01.2023,22.01.2023,listings,1,,52307.23,1430.1
16.01.2023,22.01.2023,listings,2,,86695.42,1572.26
16.01.2023,22.01.2023,listings,3,,140439.48,1734.25
16.01.2023,22.01.2023,listings,4,,326016.06,2283.68
16.01.2023,22.01.2023,listings,,1,121322.38,1618.95
16.01.2023,22.01.2023,listings,,0,114939.91,1687.12
16.01.2023,22.01.2023,listings,1,1,50103.13,1280.37
16.01.2023,22.01.2023,listings,1,0,54183.27,1557.54
16.01.2023,22.01.2023,listings,2,1,87029.32,1510.21
16.01.2023,22.01.2023,listings,2,0,86403.16,1626.56
16.01.2023,22.01.2023,listings,3,1,151218.15,1753.9
16.01.2023,22.01.2023,listings,3,0,134326.72,1723.1
16.01.2023,22.01.2023,listings,4,1,495292.18,2959.53
16.01.2023,22.01.2023,listings,4,0,255974.92,2004.03
16.01.2023,22.01.2023,apartments,,,126045.75,1731.98
16.01.2023,22.01.2023,apartments,1,,54475.79,1476.22
16.01.2023,22.01.2023,apartments,2,,88122.29,1634.83
16.01.2023,22.01.2023,apartments,3,,143372.99,1785.67
16.01.2023,22.01.2023,apartments,4,,347966.49,2388.45
16.01.2023,22.01.2023,apartments,,1,138895.4,1786.9
16.01.2023,22.01.2023,apartments,,0,118380.06,1699.22
16.01.2023,22.01.2023,apartments,1,1,54008.86,1361.87
16.01.2023,22.01.2023,apartments,1,0,54791.96,1553.65
16.01.2023,22.01.2023,apartments,2,1,93281.97,1659.95
16.01.2023,22.01.2023,apartments,2,0,84832.13,1618.81
16.01.2023,22.01.2023,apartments,3,1,158662.63,1882.3
16.01.2023,22.01.2023,apartments,3,0,134961.01,1732.5
16.01.2023,22.01.2023,apartments,4,1,482575.88,2993.79
16.01.2023,22.01.2023,apartments,4,0,285940.6,2109.51
16.01.2023,22.01.2023,soldApartments,,,123699.75,1731.29
16.01.2023,22.01.2023,soldApartments,1,,51761.59,1475.76
16.01.2023,22.01.2023,soldApartments,2,,86545.66,1636.38
16.01.2023,22.01.2023,soldApartments,3,,143604.9,1788.3
16.01.2023,22.01.2023,soldApartments,4,,343332.61,2389.23
16.01.2023,22.01.2023,soldApartments,,1,137434.93,1795.24
16.01.2023,22.01.2023,soldApartments,,0,116076.04,1695.79
16.01.2023,22.01.2023,soldApartments,1,1,48640.42,1362.7
16.01.2023,22.01.2023,soldApartments,1,0,53655.87,1544.38
16.01.2023,22.01.2023,soldApartments,2,1,91546.48,1670.99
16.01.2023,22.01.2023,soldApartments,2,0,83545.3,1615.62
16.01.2023,22.01.2023,soldApartments,3,1,160449.81,1889.26
16.01.2023,22.01.2023,soldApartments,3,0,134880.12,1736.01
16.01.2023,22.01.2023,soldApartments,4,1,501597.82,3068.01
16.01.2023,22.01.2023,soldApartments,4,0,278070.26,2109.33
23.01.2023,29.01.2023,listings,,,116749.97,1656.04
23.01.2023,29.01.2023,listings,1,,52243.18,1431.73
23.01.2023,29.01.2023,listings,2,,86548.08,1568.71
23.01.2023,29.01.2023,listings,3,,140662.2,1740.19
23.01.2023,29.01.2023,listings,4,,320092.53,2261.96
